GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	time_ceoff	time_ELBO_gain	time_pval	time_FDR
Sdc2	413	413	5.903e-02	2.221e-01	1.711e+00	-1.836e-03	9.629e-01	1.652e-01	4.867e-01
Vps35	2647	2647	5.055e-01	3.034e+00	6.515e-01	-1.304e-03	-1.167e+00	1.000e+00	1.000e+00
Rsrc2	2507	2507	4.798e-01	3.606e+00	4.961e-01	-1.768e-03	-1.051e+00	1.000e+00	1.000e+00
Sp3	1121	1121	1.230e-01	-4.400e-01	1.407e+00	-1.617e-03	1.470e+00	8.639e-02	3.445e-01
Clcn4	4786	4786	7.267e-01	3.844e+00	5.814e-01	-2.894e-03	6.404e-01	2.578e-01	6.434e-01
Pafah1b3	2565	2565	5.245e-01	4.298e+00	3.585e-01	2.283e-03	-2.519e+00	1.000e+00	1.000e+00
Abl1	686	686	1.213e-01	6.397e-01	1.378e+00	3.641e-03	-1.628e+00	1.000e+00	1.000e+00
Tab3	803	803	1.813e-01	2.362e+00	7.000e-01	-1.179e-02	5.343e+00	1.079e-03	1.858e-02
Sumo1	1961	1961	4.097e-01	2.680e+00	8.330e-01	2.805e-03	2.579e-01	4.726e-01	1.000e+00
Drosha	2333	2333	4.419e-01	2.196e+00	1.000e+00	1.557e-03	3.271e-02	7.981e-01	1.000e+00
Gm15800	2221	2221	4.234e-01	1.920e+00	8.206e-01	1.005e-03	-4.681e-01	1.000e+00	1.000e+00
Polr2h	1015	1015	2.485e-01	3.410e+00	4.804e-01	1.192e-03	-6.874e-01	1.000e+00	1.000e+00
Khdrbs1	5125	5125	7.211e-01	4.065e+00	4.298e-01	-1.086e-03	-1.729e+00	1.000e+00	1.000e+00
Tmem65	3126	3126	5.545e-01	3.918e+00	4.596e-01	-7.016e-03	9.896e-01	1.595e-01	4.769e-01
Tnks2	2469	2469	4.648e-01	2.810e+00	1.094e+00	-2.878e-03	1.021e+00	1.531e-01	4.664e-01
Wdr82	3129	3129	5.603e-01	3.384e+00	9.857e-01	4.581e-03	1.690e+00	6.597e-02	2.996e-01
Tmem55b	1782	1782	3.855e-01	3.531e+00	6.335e-01	6.670e-04	-1.005e+00	1.000e+00	1.000e+00
Wdr59	498	498	8.741e-02	5.117e-01	1.486e+00	3.076e-03	-4.280e-01	1.000e+00	1.000e+00
Lats2	449	449	9.002e-02	9.958e-01	1.568e+00	1.390e-02	5.009e+00	1.550e-03	2.534e-02
Actr1b	1670	1670	3.911e-01	3.599e+00	4.602e-01	-3.996e-03	-1.648e-01	1.000e+00	1.000e+00
Rbm18	989	989	2.446e-01	3.373e+00	5.943e-01	-1.618e-03	-6.791e-01	1.000e+00	1.000e+00
Apbb2	2101	2101	3.128e-01	1.054e+00	1.114e+00	-4.247e-03	1.328e+00	1.032e-01	3.803e-01
